排名,排名变化,游戏名称,发行公司,昨日新增下载量,icon,类别,appid,公司名称,公司链接
46,0,登山赛车2,北京唯我乐园信息技术有限公司,22726,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL2ltZy53c2RsLnZpdm8uY29tLmNuL2FwcHN0b3JlL2RldmVsb3Blci9pY29uLzIwMTgwMjA1LzIwMTgwMjA1MTM1NTI4MzE1Nzg1Ni5wbmc=,单机榜,4319171,北京唯我乐园信息技术有限公司,https://www.qimai.cn/company/product/id/30718
47,0,欢乐捕鱼人-天天赢话费,上海炫亮实业有限公司,7893,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL2ltZy53c2RsLnZpdm8uY29tLmNuL2FwcHN0b3JlL2RldmVsb3Blci9pY29uLzIwMTgwMzA1LzIwMTgwMzA1MDk1NzAwNzg1NDg5NC5wbmc=,单机榜,2096993,-,无
48,0,创造与魔法,天津英雄互娱科技有限公司,18998858,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL2ltZy53c2RsLnZpdm8uY29tLmNuL2FwcHN0b3JlL2RldmVsb3Blci9pY29uLzIwMTgwNzEyLzIwMTgwNzEyMDE0MTQ2MTU3NDQ5My5wbmc=,单机榜,5548460,-,无
49,0,欢乐真人麻将,深圳市凡游网络科技有限公司,17462,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL2ltZy53c2RsLnZpdm8uY29tLmNuL2FwcHN0b3JlL2RldmVsb3Blci9pY29uLzIwMTYwOC8yMDE2MDgyOTE1NTUwODQ0MjUyOC5qcGc=,单机榜,1961804,-,无
50,0,梦想城镇,上海触控科技发展有限公司,8778,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL2ltZy53c2RsLnZpdm8uY29tLmNuL2FwcHN0b3JlL2RldmVsb3Blci9pY29uLzIwMTgwNjA2LzIwMTgwNjA2MTM0MTI2ODkxNjQxOS5qcGc=,单机榜,1955419,-,无
51,0,火车模拟器(3D火车驾驶),南京天豆互动网络科技有限公司,984152,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL2ltZy53c2RsLnZpdm8uY29tLmNuL2FwcHN0b3JlL2RldmVsb3Blci9pY29uLzIwMTgxMDI2LzIwMTgxMDI2MTgyMzEzMTE5ODcxOC5qcGc=,单机榜,6757562,-,无
52,0,全民钓鱼,嘉丰永道（北京）科技股份有限公司,4200,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL2ltZy53c2RsLnZpdm8uY29tLmNuL2FwcHN0b3JlL2RldmVsb3Blci9pY29uLzIwMTYwOS8yMDE2MDkxMzEzNDYwOTgxMzg2NTIuanBn,单机榜,1942959,-,无
53,0,会说话的汤姆猫2,杭州哲信信息技术有限公司,3932,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL2ltZy53c2RsLnZpdm8uY29tLmNuL2FwcHN0b3JlL2RldmVsb3Blci9pY29uLzIwMTcwOC8yMDE3MDgwMzE3MTYxNzg5NDAwMzMucG5n,单机榜,4644688,-,无
54,0,枪魂狙击--枪林弹雨,杭州流冠科技有限公司,43000,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL2ltZy53c2RsLnZpdm8uY29tLmNuL2FwcHN0b3JlL2RldmVsb3Blci9pY29uLzIwMTgxMTEwLzIwMTgxMTEwMTI0OTE4NTQ2NjkyLmpwZw==,单机榜,6770303,-,无
55,0,满贯捕鱼-赢话费,重庆迅游科技有限公司,32286,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL2ltZy53c2RsLnZpdm8uY29tLmNuL2FwcHN0b3JlL2RldmVsb3Blci9pY29uLzIwMTgwOTE4LzIwMTgwOTE4MjAzMDA4OTc5NzE5Ni5wbmc=,单机榜,3220279,-,无
56,0,饥饿鲨：世界,北京掌趣科技股份有限公司,10024,https://static-cdn.aso100.com/pic/view/type/android/source/aHR0cDovL2ltZy53c2RsLnZpdm8uY29tLmNuL2FwcHN0b3JlL2RldmVsb3Blci9pY29uLzIwMTgwNDE5LzIwMTgwNDE5MTM1MTMyNjc4MDM2Ni5qcGc=,单机榜,5379473,-,无
